session,clip_id,manual_label,total_frames,action_count,action_ratio,max_consecutive_action,replay_count,ad_count,other_count,latency_median_ms
20260420_202239,d036,real_delivery,26,19,0.731,8,3,0,4,1553
20260421_195050,d001,real_delivery,16,13,0.812,10,0,0,3,1618
20260421_195050,d002,real_delivery,20,11,0.550,8,0,0,9,1546
20260421_195050,d003,real_delivery,17,13,0.765,10,2,0,2,1585
20260421_195050,d004,real_delivery,21,16,0.762,16,0,0,5,1551
20260421_195050,d005,real_delivery,23,19,0.826,16,1,0,3,1567
20260421_195050,d006,real_delivery,20,13,0.650,11,1,0,6,1575
20260421_195050,d007,real_delivery,18,13,0.722,7,0,0,5,1538
20260421_195050,d008,real_delivery,23,13,0.565,10,9,0,1,1521
20260421_195050,d009,real_delivery,10,10,1.000,10,0,0,0,1516
20260421_195050,d010,real_delivery,10,8,0.800,8,0,0,2,1519
20260421_195050,d011,noise,15,9,0.600,3,1,0,5,1514
20260421_195050,d012,real_delivery,19,17,0.895,10,0,0,2,1541
20260421_195050,d013,real_delivery,17,16,0.941,16,0,0,1,1529
20260421_195050,d014,noise,16,10,0.625,10,0,0,6,1553
20260421_195050,d015,real_delivery,21,16,0.762,16,0,0,5,1614
20260421_195050,d016,real_delivery,14,12,0.857,7,0,0,2,1590
20260421_195050,d017,real_delivery,18,10,0.556,7,0,0,8,1575
20260421_195050,d018,real_delivery,24,19,0.792,13,0,0,5,1586
20260421_195050,d019,real_delivery,15,14,0.933,14,0,0,1,1577
20260421_195050,d020,real_delivery,22,13,0.591,11,0,0,9,1568
20260421_195050,d021,real_delivery,21,5,0.238,2,13,0,3,1538
20260421_195050,d022,real_delivery,25,5,0.200,2,12,0,8,1533
20260421_195050,d023,real_delivery,20,17,0.850,9,0,0,3,1618
20260421_195050,d024,real_delivery,26,18,0.692,11,1,0,7,1551
20260421_195050,d025,real_delivery,23,17,0.739,17,0,0,6,1591
20260421_195050,d026,real_delivery,17,15,0.882,8,1,0,1,1535
20260421_195050,d027,real_delivery,18,7,0.389,6,0,0,11,1562
20260421_195050,d028,replay,16,5,0.312,3,2,0,9,1562
20260421_195050,d029,real_delivery,10,10,1.000,10,0,0,0,1631
20260421_195050,d030,real_delivery,11,6,0.545,6,0,0,5,1612
20260421_195050,d031,real_delivery,15,2,0.133,1,11,0,2,1649
20260421_195050,d032,real_delivery,12,11,0.917,11,0,0,1,1578
20260421_195050,d033,noise,4,4,1.000,4,0,0,0,1607
20260421_195050,d034,real_delivery,4,2,0.500,2,0,0,2,1564
20260421_195050,d035,real_delivery,12,11,0.917,11,0,0,1,1544
20260421_195050,d036,real_delivery,12,12,1.000,12,0,0,0,1594
20260421_195050,d037,real_delivery,19,13,0.684,7,1,0,5,1621
20260421_195050,d038,replay,10,5,0.500,4,3,0,2,1540
20260421_195050,d039,real_delivery,16,13,0.812,11,0,0,3,1564
20260421_195050,d040,noise,11,7,0.636,5,0,0,4,1544
20260421_195050,d041,real_delivery,19,14,0.737,13,4,0,1,1559
20260421_195050,d042,noise,11,10,0.909,10,0,0,1,1636
20260421_195050,d043,noise,12,8,0.667,3,0,0,4,1523
20260421_195050,d044,noise,4,4,1.000,4,0,0,0,1766
20260421_195050,d045,real_delivery,13,7,0.538,7,0,0,6,1536
20260421_195050,d046,real_delivery,16,13,0.812,12,0,0,3,1566
20260421_195050,d047,real_delivery,14,12,0.857,12,0,0,2,1589
20260421_195050,d048,real_delivery,15,15,1.000,15,0,0,0,1539
20260421_195050,d049,real_delivery,20,14,0.700,14,0,0,6,1581
20260421_195050,d050,real_delivery,19,15,0.789,5,3,0,1,1659
20260421_195050,d051,real_delivery,24,8,0.333,5,0,0,16,1176
20260421_195050,d052,noise,4,0,0.000,0,4,0,0,537
20260421_195050,d053,noise,16,10,0.625,5,0,0,6,503
20260421_195050,d054,real_delivery,14,10,0.714,10,0,0,4,624
20260421_195050,d055,real_delivery,24,14,0.583,11,0,0,10,1630
20260421_195050,d056,noise,4,1,0.250,1,0,0,3,1114
20260421_195050,d057,replay,21,3,0.143,3,17,0,1,1640
20260421_195050,d058,noise,25,5,0.200,3,8,0,12,1563
20260421_195050,d059,real_delivery,12,10,0.833,10,0,0,2,1538
20260421_195050,d060,real_delivery,11,5,0.455,5,0,0,6,1582
20260421_195050,d061,real_delivery,23,20,0.870,10,1,0,2,1603
20260421_195050,d062,real_delivery,19,15,0.789,10,0,0,4,1566
20260421_195050,d063,ad,4,3,0.750,3,1,0,0,1461
20260421_195050,d064,real_delivery,23,17,0.739,10,2,0,4,1586
20260421_195050,d065,real_delivery,21,14,0.667,11,1,0,6,1539
20260421_195050,d066,real_delivery,16,10,0.625,7,0,0,6,1551
20260421_195050,d067,replay,12,5,0.417,4,1,0,6,1578
20260421_195050,d068,noise,12,10,0.833,6,1,0,1,1596
20260421_195050,d069,real_delivery,12,9,0.750,5,0,0,3,1589
