session,clip_id,manual_label
live_b0cdc9f9,gap_069_ad,ad
live_b0cdc9f9,gap_070_replay,replay
live_b0cdc9f9,gap_071_replay,replay
live_b0cdc9f9,gap_072_replay,replay
live_b0cdc9f9,gap_073_replay,replay
live_b0cdc9f9,gap_074_replay,replay
live_b0cdc9f9,gap_075_ad,ad
live_b0cdc9f9,gap_076_ad,ad
live_b0cdc9f9,gap_077_replay,replay
live_b0cdc9f9,gap_078_replay,replay
live_b0cdc9f9,gap_079_ad,ad
live_b0cdc9f9,gap_080_replay,replay
live_b0cdc9f9,gap_081_replay,replay
live_b0cdc9f9,gap_082_replay,replay
live_b0cdc9f9,gap_083_replay,replay
live_b0cdc9f9,gap_084_replay,replay
live_b0cdc9f9,gap_085_replay,replay
live_b0cdc9f9,gap_086_ad,ad
live_b0cdc9f9,gap_087_replay,replay
live_b0cdc9f9,gap_088_replay,replay
live_b0cdc9f9,gap_089_ad,ad
live_b0cdc9f9,gap_090_ad,ad
live_b0cdc9f9,gap_091_replay,replay
live_b0cdc9f9,gap_092_replay,replay
live_b0cdc9f9,gap_093_replay,replay
live_b0cdc9f9,gap_094_ad,ad
live_b0cdc9f9,gap_095_replay,replay
live_b0cdc9f9,gap_096_replay,replay
live_b0cdc9f9,gap_097_replay,replay
live_b0cdc9f9,gap_098_replay,replay
live_b0cdc9f9,gap_099_replay,replay
live_b0cdc9f9,gap_100_replay,replay
live_b0cdc9f9,gap_101_ad,ad
