session,clip_id,manual_label,over,event_type,n_frames,flow_mean,flow_std,flow_p50,flow_p95,flow_peak_count,diff_mean,diff_std,diff_p50,diff_p95,diff_peak_count,strip_mean,strip_std,strip_p95
20260421_195050,d002,real_delivery,4.4,EXTRA,329,1.245466185965799,1.448891427791952,0.6644288301467896,3.730026817321776,59,4.87890436190572,5.580916949563127,3.8264381402679275,11.948304767533482,30,0.03248529235966991,0.11133001550779985,0.07874758220502898
20260421_195050,d003,real_delivery,4.5,DOT,283,2.549991119478569,3.3392501349121004,0.9881609082221985,10.204785728454587,58,7.036775848098305,8.84924612187657,3.9557377856579983,26.782610323088953,45,0.16512016070789848,0.3792884288643966,0.8411589297227567
20260421_195050,d004,real_delivery,5.0,SIX,356,2.7754294870295717,3.587501607456683,1.3601264953613281,10.368292808532715,67,7.165616284166068,6.53533292979588,5.770988475177305,18.349891646966114,56,0.05937316627909505,0.5372188644703291,0.08162072856221793
20260421_195050,d005,real_delivery,5.1,1_RUNS,382,3.989195877705647,3.2768388496388026,3.1885756254196167,10.96643009185791,70,10.453873633854418,9.093167202532326,8.204629629629629,24.433796296296286,52,0.19337444006737756,0.3742053564779164,0.915256286266924
20260421_195050,d006,real_delivery,5.2,1_RUNS,339,3.692129905025164,3.5418123117912246,2.673706531524658,11.093088817596435,69,10.27484836677197,8.709112523031633,9.0716853821907,25.804736997635924,51,0.15217511206967055,0.37260954849054545,0.7801136363636343
20260421_195050,d007,real_delivery,5.3,DOT,294,1.1776241791390238,1.313819753512604,0.698788195848465,3.9475859999656664,72,3.9874608334271446,5.337533877003584,2.464423266351458,9.187622882190698,29,0.024077893568775027,0.038556604963904194,0.0861057382333978
20260421_195050,d008,real_delivery,5.4,1_RUNS,376,3.793435643446889,3.680722139354299,2.496933698654175,11.346015930175781,100,8.029621613181765,8.367419103551562,6.5192006501182025,23.641542306934596,33,0.10010271341756177,0.32587029080786695,0.4254311734364926
20260421_195050,d009,real_delivery,5.5,1_RUNS,158,3.061500266241499,2.8722494246043846,2.116125464439392,9.966395282745363,25,6.3198132998673335,3.9145101049391,6.362140464933018,11.294931294326242,24,0.014882446196410647,0.030644772378951617,0.07762733720180534
20260421_195050,d010,real_delivery,5.5,EXTRA,169,2.260227558704523,1.5488187871438723,1.719746708869934,4.99104413986206,38,6.5618475212276355,6.206634629894037,5.619675925925926,12.799031717888099,12,0.04107914725754333,0.050800649949951426,0.13836234687298518
20260421_195050,d011,noise,6.0,SIX,251,2.8429313093364477,2.3531948370714835,2.316507577896118,7.500080347061157,42,8.473046564726124,5.530665180075893,7.894208037825059,14.865248226950355,18,0.08946387242776155,0.6382813743574711,0.16402724049000644
20260421_195050,d012,real_delivery,6.1,1_RUNS,317,3.444789115721448,3.3026794651894815,2.6252100467681885,10.996891784667966,52,9.155075579892262,8.31961030442985,7.960387115839244,26.40729018912529,34,0.2089646040917938,0.36557503255561585,0.9636927788523533
20260421_195050,d013,real_delivery,6.2,1_RUNS,263,1.659338960431148,1.720736369753005,1.089668869972229,5.784043645858763,48,5.204599311005043,4.589479141298474,4.0995321118991335,11.288566784869976,49,0.03577463209066639,0.4029883539234051,0.05173678272082526
20260421_195050,d014,noise,6.3,2_RUNS,241,2.929347018977913,1.627963288472365,2.590118885040283,6.1558685302734375,50,8.368048648100736,4.550546171572898,7.368636721828211,14.582042947202522,34,0.04566873600487974,0.06996049962303252,0.16025950999355254
20260421_195050,d015,real_delivery,6.4,1_RUNS,330,2.0876407155259087,1.8133603739855633,1.6549192070960999,5.699857258796692,67,6.416957294576975,6.023229590177231,5.463802698975572,16.721416962174942,40,0.06880726999198954,0.16420835942373477,0.1925451321727918
20260421_195050,d016,real_delivery,6.5,1_RUNS,227,2.5278781463067963,2.102522590995505,1.690885305404663,7.051995182037353,49,7.597644677553175,5.83552967916295,5.587189716312056,18.40105299448384,37,0.026041356010190957,0.03940043709080363,0.09783204384268211
20260421_195050,d017,real_delivery,7.0,1_RUNS,291,2.620259298286897,2.6378845190980194,1.8243505954742432,8.406366348266602,60,6.803052265360337,6.207997995797792,5.298483057525611,17.162253743104806,44,0.03488811674543195,0.05024166040833427,0.14436250805931655
20260421_195050,d018,real_delivery,7.1,1_RUNS,407,2.704057878299779,2.0875378875040345,1.9652026891708374,7.198476696014404,87,7.043068818334776,5.64069856662107,5.760160559495666,13.74687697005516,55,0.077156966180177,0.1738500629881768,0.3285783365570598
20260421_195050,d019,real_delivery,7.2,DOT,237,2.2286765449032,1.474457883105808,2.102206230163574,4.666099643707275,40,8.286140765844399,5.8553951991283535,8.468873128447596,12.695509259259259,8,0.020094052564426923,0.047610023102621926,0.08674242424242418
20260421_195050,d020,real_delivery,7.3,FOUR,370,2.1785313263132764,2.0524731592066585,1.611791968345642,6.555535483360291,65,8.609637030647669,9.322523055163312,6.105122143420016,31.813884456264823,42,0.053643573457403254,0.24600716234421816,0.21472437137330755
20260421_195050,d021,real_delivery,7.4,1_RUNS,342,1.1160481144859298,2.2530880565679716,0.15285483747720718,5.495418858528136,48,3.587323026258186,5.667292596533522,0.9075428486997636,12.98563558904649,66,0.09510618031754649,0.22540486790564482,0.47435122501611865
20260421_195050,d022,real_delivery,7.5,DOT,413,1.1854379757647977,2.0835089971006617,0.3026778995990753,5.015267467498779,58,4.120346996834555,5.48131540573059,2.139026792750197,12.786955279747824,86,0.0808734855119637,0.20847864247500833,0.4566569954867826
20260421_195050,d023,real_delivery,8.0,2_RUNS,323,2.252705115467402,2.7466415615435547,1.177588701248169,7.790870761871335,56,7.154634371790275,6.6966097287770925,5.249995074862096,20.374197202521668,46,0.03132267108207428,0.0533578281939697,0.13466715022566086
20260421_195050,d024,real_delivery,8.1,2_RUNS,429,1.8281309600302946,2.246470643743736,0.9230561852455139,6.944024276733397,72,5.6668611809125995,6.54086840503687,4.068587470449173,13.081683412135536,41,0.03877508157005256,0.0739120770488446,0.13873307543520264
20260421_195050,d025,real_delivery,8.2,SIX,360,3.596391538158059,2.8744176359241895,2.4676032066345215,9.395411252975464,83,10.920385761426319,8.209018728188264,8.641715918045705,25.71979511426322,59,0.3021333682570385,0.5532894182690954,0.9840667311411994
20260421_195050,d026,real_delivery,8.3,1_RUNS,267,3.597670327132561,2.9247569769264556,2.346924304962158,9.483712291717529,61,10.327809984859352,8.025367541049972,7.496074665090623,24.638638199369574,46,0.30290760219937846,0.40001927005771215,0.9660340103159251
20260421_195050,d027,real_delivery,8.4,SIX,300,4.25071261882782,4.327484607953864,2.366018295288086,14.787047529220583,65,9.707580805095876,6.691875865179201,8.58878792356186,19.481145094562653,35,0.11658902858370944,0.6339810314654177,0.159127176015474
20260421_195050,d028,replay,8.5,WICKET,250,3.61509182536602,2.715586126119598,2.8566664457321167,9.864834833145133,39,10.595322655634359,8.777688884615822,8.962145390070923,18.946944444444444,16,0.4052745003223726,0.39332988964746346,1.1037556415215974
20260421_195050,d029,real_delivery,9.0,1_RUNS,164,3.0348121207661745,2.881636264217825,1.8162509202957153,8.938770294189453,36,8.630501258913299,6.119355579125267,6.80022901891253,18.973279895587073,33,0.025221729490022174,0.040074114246652866,0.0871675531914893
20260421_195050,d030,real_delivery,9.1,1_RUNS,181,3.1564631490911568,2.8027067592797095,2.582319736480713,7.474407196044922,29,9.220790149941877,8.901159531444053,7.253551024428684,28.025359535066983,27,0.1310845613772615,0.2824186811080995,0.5473081882656351
20260421_195050,d031,real_delivery,9.2,1_RUNS,251,0.7290377969523351,1.8109091834665918,0.3132101893424988,2.0602238178253174,13,3.2889269556918115,6.327361755948871,1.9098601260835304,10.470412234042552,13,0.13934654675944835,0.31857199336214587,0.36464377820760796
20260421_195050,d032,real_delivery,9.3,1_RUNS,182,4.320203325209709,5.149115264836505,2.253496766090393,16.846888256072997,38,8.682116012435163,7.1431657253774405,5.732407407407408,20.558904403073278,52,0.02120353051204115,0.04150429541570899,0.08181415215989676
20260421_195050,d033,noise,9.4,1_RUNS,57,0.4642599021787183,0.21522665885838466,0.39485427737236023,0.8065396785736083,17,1.8154280376868097,0.7044456069872402,1.7207594562647754,2.9165238376674543,15,0.0038493840985442326,0.0028855132168116564,0.009381044487427465
20260421_195050,d034,real_delivery,9.4,EXTRA,58,1.7071461513124664,1.2344717894115391,1.3731650114059448,4.101850771903991,13,4.692084454226788,2.8930800814625104,4.395670803782506,7.208295902285263,3,0.0404244202850219,0.05315446695994771,0.10086234687298516
20260421_195050,d035,real_delivery,9.5,1_RUNS,202,3.1578244310942027,2.448959488188031,2.5308758020401,7.833307218551635,44,6.987535695058868,4.736199748421205,6.475322596532703,11.849020636327815,15,0.02387392994618611,0.08090541053662524,0.052075274016763345
20260421_195050,d036,real_delivery,10.0,DOT,197,1.5013964294555224,1.6405324875608993,0.7814638018608093,5.31883602142334,44,4.710159659470465,3.449620864054964,3.9503102836879433,10.770572301024426,38,0.015014465859589522,0.037044968443620485,0.06552224371373304
20260421_195050,d037,real_delivery,10.1,SIX,310,4.297531412686071,4.148997356910472,2.974138617515564,13.57013788223267,54,12.58470352258573,8.68315571145819,11.296042651694247,30.53334195232467,47,0.10529653085418358,0.6019153305574635,0.21496212121212124
20260421_195050,d038,replay,10.2,FOUR,155,3.745856845186603,2.815174411402407,3.2633628845214844,10.02821216583252,23,8.394656066498897,4.1881554609834195,8.023113672182822,17.50537775807722,19,0.22947890018926395,0.18228745667054003,0.5245406189555125
20260421_195050,d039,real_delivery,10.3,1_RUNS,259,3.738109349168866,2.898777671861847,3.0223565101623535,9.13290214538574,58,8.889037726936664,6.009051855251789,8.902034081954294,17.493595350669818,24,0.05075237920982601,0.06390242114570836,0.14957285622179234
20260421_195050,d040,noise,10.4,SIX,182,4.196928059498032,3.41627371648722,2.9984164237976074,10.9283775806427,40,10.57729124451199,5.330874027633082,8.75851802600473,21.15073483057525,40,0.11505958580426667,0.7427733219924434,0.20684235976789167
20260421_195050,d041,real_delivery,10.5,1_RUNS,322,3.430333613279212,3.953399992851732,1.7600699663162231,11.804689693450928,73,8.046819553959933,8.556059260682796,5.467728033884949,25.342118055555552,57,0.19383181958343842,0.3646252895782703,0.8399419729206957
20260421_195050,d042,noise,11.0,FOUR,166,2.7957925099924386,1.8821969555936113,2.4052493572235107,6.354635953903198,35,8.95297597007415,5.576499437877938,6.990735815602837,19.118168833727346,35,0.07071055013089107,0.39866059667778714,0.16945720502901354
20260421_195050,d043,noise,11.1,SIX,193,4.105297993617663,3.13637074244629,3.2522711753845215,8.78732299804687,33,12.428923114769495,7.181175682737131,10.760997832939323,26.36859141055949,39,0.1095332110655669,0.7017258470211134,0.18872501611863302
20260421_195050,d044,noise,11.2,DOT,58,1.832792739929824,1.9207225077082493,0.6567944586277008,5.594019818305969,21,6.328166608923671,7.820662303404072,1.9607638888888888,14.799969464144995,22,0.007097061962249049,0.03432251759061991,0.007757092198581556
20260421_195050,d045,real_delivery,11.2,EXTRA,212,1.5921885400377918,1.211357190524318,1.3033278584480286,4.056095480918884,40,5.173970018919963,5.78187969526094,4.153959810874705,9.021220202915678,8,0.028342373453523594,0.04611453238954544,0.09704223081882651
20260421_195050,d046,real_delivery,11.3,1_RUNS,261,2.0013649244989016,1.8422755476154427,1.3562006950378418,5.711610794067383,57,5.536264281012896,5.216130345415179,3.5795902285263987,12.496562253743106,56,0.012585039685186419,0.03157955576377913,0.0365892972275951
20260421_195050,d047,real_delivery,11.4,1_RUNS,235,2.0556538642720974,1.8259344564818156,1.7267098426818848,5.658360624313354,43,5.248983074292037,4.78412173685917,4.3138642631993696,10.295435874704491,29,0.014715283207813767,0.03080473535002661,0.07068423597678904
20260421_195050,d048,real_delivery,11.5,1_RUNS,252,2.209846682905678,2.5700045142779673,0.7548694610595703,7.278876662254333,60,5.647896047537744,4.042779518589554,4.33043488967691,12.895188386524818,57,0.011140086273064996,0.02793877365327101,0.04748146357188908
20260421_195050,d049,real_delivery,12.0,2_RUNS,334,3.2756366946896214,2.47169014817738,3.0492916107177734,8.150174093246456,63,7.983907819703383,5.4503365275825315,7.793343676122932,17.156697695035458,34,0.016862310195855868,0.03260340900368913,0.055677788523533146
20260421_195050,d050,real_delivery,12.1,DOT,312,4.399167914516651,4.234568963375527,2.5763453245162964,12.791976499557492,85,9.0133120163262,7.458461454877577,6.933412135539795,22.424292750196994,53,0.22920631747094516,0.2926560463702258,0.7612588652482268
20260421_195050,d051,real_delivery,12.1,EXTRA,374,1.8837697560734608,1.6138222665629838,1.3864728808403015,5.01522493362426,68,6.4226863703787975,6.37868524674675,4.731289401103231,15.491268961780921,50,0.03177019225133345,0.11650854941102635,0.0799403610573823
20260421_195050,d052,noise,12.2,DOT,58,2.0589153155371354,3.6655482525284553,0.7748391628265381,11.237511539459224,10,7.5547127625608,12.360610322466858,3.1623423955870766,35.06217173955871,11,0.23426418439716312,0.4222450744395398,0.9124093326885878
20260421_195050,d053,noise,12.3,FOUR,265,2.470154259958357,1.571111657486143,2.0370311737060547,5.586862850189209,45,9.67897146393684,5.3161268945269855,8.33676122931442,17.895005910165484,45,0.07756605598335826,0.3075638962203744,0.16941489361702114
20260421_195050,d054,real_delivery,12.4,1_RUNS,231,3.0080447367259433,2.0086411020542068,2.463358163833618,7.169404983520508,36,8.08096404350837,4.997997555899013,6.418203309692672,17.00723256501182,53,0.027246769993385083,0.03905415023457276,0.09159413281753707
20260421_195050,d055,real_delivery,12.5,1_RUNS,396,1.4667817357541861,1.388796214296778,0.9555323123931885,4.340603828430176,77,5.7884000440774965,5.789851662644841,3.6516967100078803,16.505207102048857,77,0.04007739386124299,0.1662371287461102,0.13108478401031592
20260421_195050,d056,noise,13.0,SIX,59,0.6285999912326619,0.22479555526445855,0.6285422444343567,0.9739914119243621,12,2.0775420389737014,0.6283703625925304,1.9640514184397162,3.134844858156028,12,0.010100099443770556,0.005772348029846823,0.024766279819471305
20260421_195050,d057,replay,13.1,1_RUNS,352,1.2990006321871823,2.6177581783558597,0.31032519042491913,7.588628244400023,44,4.401968879844545,7.470265285729793,1.847941292356186,18.68907062647753,42,0.1542552046700076,0.31057634235999965,0.4518939393939388
20260421_195050,d058,noise,13.2,DOT,413,1.1888895697549442,1.888251481287665,0.6752961277961731,4.089047145843505,48,4.649383356039054,7.571117287422236,2.507530535855004,16.750857959022852,46,0.12090526224586809,0.275165228939086,0.6138620245003218
20260421_195050,d059,real_delivery,13.3,1_RUNS,177,3.256684511563199,3.597879003528389,1.5751994848251343,11.398818016052244,35,7.694345079091594,6.034900470803235,6.2407062647754135,16.784235618597318,33,0.030693246930174445,0.06115739850357925,0.129642166344294
20260421_195050,d060,real_delivery,13.4,1_RUNS,170,2.837880828363054,1.6748370104822643,2.6071884632110596,5.984221339225764,26,9.393237930514994,5.707375185729555,7.688233845547675,18.073648542159173,35,0.06602334357340615,0.5063724977341014,0.10000805931656966
20260421_195050,d061,real_delivery,13.4,EXTRA,382,2.866528408494607,3.0853402067321296,2.0315287113189697,10.577381610870354,57,7.7359011738847,6.3689544308316846,7.189960106382978,16.10376452915681,39,0.10653583146829779,0.26878883671528137,0.43590224049000637
20260421_195050,d062,real_delivery,13.5,FOUR,322,3.5089749190609276,3.6136509544287705,2.294467329978943,10.749383783340454,61,8.036797938416811,7.146232451453299,6.305848601260835,19.47370074862096,42,0.2300096411451638,0.33209558309965703,0.7502276756931007
20260421_195050,d063,ad,14.0,1_RUNS,58,2.6264172579996803,2.652827911600469,2.397014021873474,7.655570721626281,8,7.852823377761474,9.242414189890095,6.658651004728132,16.298015169424723,3,0.0,0.0,0.0
20260421_195050,d064,real_delivery,14.1,SIX,377,2.7362409057367385,2.3924562846422095,2.1737923622131348,7.487875175476069,60,7.084358389090599,5.4320526157241025,5.634658195429472,15.018336288416071,64,0.06866580472596612,0.5122443971500954,0.1482269503546098
20260421_195050,d065,real_delivery,14.2,SIX,320,5.170258024940267,4.386301492347591,3.573804020881653,14.054554271697999,87,11.002287957422183,8.030905600734034,9.545936761229314,27.21823581560284,50,0.31932145591553834,0.5047924810560829,1.2734707446808513
20260421_195050,d066,real_delivery,14.3,FOUR,256,4.1078220481285825,3.0661693006000386,3.2687567472457886,11.477585554122925,49,10.899281718657654,5.924289706122761,10.431978920409772,20.982771867612293,39,0.09635558334340749,0.33860433180768346,0.23986540941328174
20260421_195050,d067,replay,14.4,WICKET,193,3.568281588120473,4.565896466215415,0.3027029037475586,13.404309463500962,61,8.85238575721571,9.830666924387966,2.443119582348306,24.221260835303383,68,0.33988685220633186,0.3709223931548227,0.9298597678916825
20260421_195050,d068,noise,14.5,SIX,196,6.290738582306979,3.355233016966735,5.4268479347229,11.90153455734253,45,12.526578582082953,5.043819988225685,11.487583727344365,21.517239213947988,31,0.11927459571836473,0.7026094693403114,0.23687338813668601
20260421_195050,d069,real_delivery,15.0,1_RUNS,197,3.8404330344974693,4.011187570898169,2.141916513442993,13.678709030151365,43,10.431018643522018,8.521803579447964,7.634101654846336,25.958067375886518,38,0.1172918978095023,0.33860268305283087,0.36785138620245
